Ngày,Nhiệt độ tối thiểu hàng ngày,Nhiệt độ tối đa hàng ngày,Mức gió ổn định tối đa,Gió giật tối đa,Tổng lượng mưa hàng ngày,Độ dày của tuyết,Áp suất,Biểu tượng,Mô tả
4/18/2017,            25°C,            32°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/19/2017,            25°C,            31°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/20/2017,            26°C,            31°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/21/2017,            26°C,            32°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/22/2017,            26°C,            32°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/23/2017,            26°C,            32°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/24/2017,            25°C,            33°C,            24 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/25/2017,            26°C,            32°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/26/2017,            26°C,            34°C,            22 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/27/2017,            26°C,            33°C,            21 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
4/28/2017,            24°C,            31°C,            29 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/29/2017,            25°C,            32°C,            16 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
4/30/2017,            24°C,            32°C,            26 Km/h,            N/A,            1mm,            N/A,            N/A,            ,            Giông bãoMưa
5/1/2017,            25°C,            34°C,            26 Km/h,            N/A,"            0,5mm",            N/A,            N/A,            ,            Mưa
5/2/2017,            24°C,            31°C,            32 Km/h,            N/A,"            0,5mm",            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/3/2017,            25°C,            32°C,            26 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
5/4/2017,            24°C,            33°C,            16 Km/h,            N/A,            1mm,            N/A,            N/A,            ,            Mưa
